Name,Category,Well_Known_Movie,Bio
Trilok Kapoor,Actor,Ram Bhakta Hanuman,"Born in Peshawar, Trilok Kapoor did his initial studies in Peshawar"
Nilu Phule,Actor,Zara Si Zindagi,Nilu was born in the Marathi-speaking Phule family during the year 1930
Mohan Segal,Director,New Delhi,"Mohan Segal was born on December 1, 1921 in Jullundur, Punjab, British India"
Dinesh Lal Yadav,Actor,RaJa Babu,"Dinesh Lal Yadav was born on March 22, 1979 in Ghazipur, Uttar Pradesh, India"
Jayashree,Actress,Shejari,"Jayashree was an accomplished Bollywood actress, and had acted in other Indian language movies as well"
Goutam Ghose,Director,Paar,"Goutam Ghose was born on July 24, 1950 in Calcutta, West Bengal, India"
Raj Kanwar,Director,Daag: The Fire,Raj Kanwar was born in 1961 in India
Udayan Prasad,Director,The Yellow Handkerchief,"Known for Brothers In Trouble (1995), My Son The Fanatic (1997), Gabriel & Me (2001) and"
Deepak Nayar,Producer,Bend It Like Beckham,Deepak Nayar was born in 1959 in India
Ridhima Ghosh,Actress,Byomkesh,"Ridhima Ghosh was born on January 18, 1990 in Calcutta, West Bengal, India"
Sharat Katariya,Writer,Dum Laga Ke Haisha,"Sharat Katariya was born on June 15, 1978 in New Delhi, India"
Mehar Mittal,Actor,Anakh Jattan Dee,"Mehar Mittal was born on October 24, 1935 in Bathinda, Punjab, British India"
Rabi Ghosh,Actor,Heerak Rajar Deshe,"Rabi Ghosh was born on November 24, 1931 in Calcutta, Bengal Presidency, British India as Rabi Ghosh Dostidar"
Ishita Moitra,Writer,The Test Case,
Viivek Mashru,Actor,C.I.D.,"Viivek Mashru was born on September 27, 1983 in Bangalore, Karnataka, India"
Sandhya Roy,Actress,Baghini,"Sandhya Roy was born on April 11, 1941 in Nabadwip, Bengal Presidency, British India"
Anurag Sinha,Actor,Black & White,Anurag Sinha (born 1982) is an Indian actor
Dinesh,Actor,Visaaranai,"Dinesh completed his high school at the Dhanalakshmi Higher Secondary School in Washermenpet, Chennai"
Harindranath Chattopadhyay,Actor,Tere Ghar Ke Samne,"Harindranath Chattopadhyay was born on April 2, 1898 and died on June 23, 1990"
Alka Yagnik,Music Department,Kuch Kuch Hota Hai,"Alka's musical career began at the age of six, when she started interpreting devotional songs for Calcutta Radio"
Shagufta Ali,Actress,Gang,"Shagufta Ali was born on April 7, 1967 in Bombay, Maharashtra, India"
Murali,Actor,Aadharam,"Murali was born on May 25, 1954 in Kollam, Kerala, India"
O.P. Ralhan,Actor,Hulchul,O
Pyarelal Ramprasad Sharma,Composer,Om Shanti Om,"Pyarelal Ramprasad Sharma was born on September 3, 1940 in Bombay, Bombay Presidency, British India"
Satyanarayana Kaikala,Actor,Kurukshetramu,"Satyanarayana Kaikala was born on July 25, 1935 in Kauthavaram, Krishna District, Andhra Pradesh, India"
Sally Nesbitt,Actress,The Avengers,"Sally Nesbitt was born on October 1, 1938 in Darjeeling, Bengal Presidency, British India as Sally Hunt"
Amrita Prakash,Actress,Manjupoloru Penkutti,"Amrita Prakash was born on May 12, 1987 in Jaipur, Rajasthan, India"
S.P. Muthuraman,Director,Bhuvana Oru Kelvikkuri,S
Raju Srivastava,Actor,Baazigar,"Raju Srivastav (born Satyaprakash Srivastava) often credited as Raju Shrivastav or Raju Srivastava, is an Indian comedian, and more popularly, an observational comedian"
Dalljiet Kaur,Actress,Aakhri Badla,"Dalljiet Kaur was born on November 15, 1982 in India"
N. Chandra,Director,Y.M.I. Yeh Mera India,N
Tota Roy Chowdhury,Actor,Villain,"Tota Roy Chowdhury was born on July 9, 1976 in Calcutta, West Bengal, India as Pushparag Roy Choudhury"
Yash Dasgupta,Actor,Total Dadagiri,"Yash is an Indian actor born on October 10, 1985"
Kirti Reddy,Actress,Arjun,"Kirti Reddy was born on November 17, 1978 in Hyderabad, Andhra Pradesh, India"
Bappi Lahiri,Music Department,The Dirty Picture,"Bappi Lahiri was popular in the late 1970s, 1980s and early 1990s for the film soundtracks composed by him from films such as Zakhmee, Chalte Chalte, Naya Kadam, Aangan Ki Kali, Wardat, Disco Dancer, Hathkadi, Namak Halaal, Masterji, Dance Dance,Himmatwala, Justice Chaudhury, Tohfa, Maqsad, "
Kamal Sadanah,Writer,Roar: Tigers of the Sundarbans,"Kamal SadanahBorn in a family of filmmakers, his first step as an infant was on the sets of his father's film shoot"
Rannvijay Singh,Actor,Mod,"Rannvijay Singh was born on March 16, 1983 in Jalandhar, India as Rannvijay Singh Singha"
Anthony Page,Director,Forbidden,"Anthony Page was born on September 21, 1935 in Bangalore, Kingdom of Mysore, British India as Anthony Frederick Montagu Page"
Firdous Bamji,Actor,The Sixth Sense,"Firdous Bamji was born in Bombay and grew up in Bahrain, Kodaikanal (South India) and Columbia, South Carolina"
June Malia,Actress,Har Har Byomkesh,"June Malia was born on June 24, 1970 in Darjeeling, West Bengal, India"
Siddharth Randeria,Actor,Khal Nayak,"Siddharth Randeria was born on December 17, 1955 in Bombay, State of Bombay, India"
Jabbar Patel,Director,Samna,
T. Hariharan,Director,Kerala Varma Pazhassi Raja,"Hariharan entered the Malayalam film industry in 1965, and has so far directed more than 60 films, many of which were highly successful both commercially and critically"
Lucky Ali,Music Department,Kaho Naa... Pyaar Hai,"Lucky Ali was born on September 19, 1958 in India as Masqoom Mehmood Ali"
Salil Ankola,Actor,Chura Liyaa Hai Tumne,"Salil Ankola was born on March 1, 1968 in Sholapur, Maharashtra, India"
K.J. Yesudas,Music Department,Kerala Varma Pazhassi Raja,K
Chandra Sekhar Yeleti,Writer,Manamantha,Chandrasekhar Yeleti is a film maker working prominently in Telugu film industry
Dilip Prabhavalkar,Actor,Lage Raho Munna Bhai,"Dilip Prabhavalkar was born on August 4, 1944 in Bombay, Bombay Presidency, British India"
Atul Srivastava,Actor,Munna Bhai M.B.B.S.,"Atul Srivastava was born on August 12, 1961 in Bombay, Maharashtra, India"
Benjamin Gilani,Actor,Bajirao Mastani,"Benjamin Gilani is an Indian actor of film, television and theatre"
Umesh Mehra,Director,International Khiladi,"Umesh Mehra was born on August 6, 1953 in Bombay, State of Bombay, India"
Gurshabad Singh,Music Department,Kudiye Lahore Diye,Gurshabad Singh (born on 24 August 1989) is a Punjabi singer and actor
I.V. Sasi,Director,Eeta,I
Vega Tamotia,Actress,Chittagong,"Vega Tamotia was born on May 7, 1985 in India"
Sabitri Chatterjee,Actress,Marutirtha Hinglaj,"Sabitri Chatterjee was born on February 21, 1937 in Comilla, Bengal Presidency, British India"
Vishal Malhotra,Actor,Happy New Year,"Vishal Malhotra was born on July 22, 1980 in Bombay, Maharashtra, India"
Tanaaz Currim Irani,Actress,Main Prem Ki Diwani Hoon,"Tanaaz Currim Irani was born on April 8, 1972 in Bombay, Maharashtra, India"
Ambarish,Actor,Bul Bul,"Ambarish was born on November 30, 1951 in Malavalli, Mandya district, Karnataka, India as Malavalli Huchche Gowda Amarnath"
K.G. George,Director,Ee Kannikoodi,K
Cezanne Khan,Actor,Kasautii Zindagii Kay,"Cezanne Khan was born on December 28, 1977 in Bombay, Maharashtra, India"
Shraddha Nigam,Actress,Aaghaaz,"Shraddha Nigam was born on October 1, 1979 in India"
Kamal Amrohi,Writer,Pakeezah,Grandson Bilal Amrohi is married to Saachi Tulli ( Kumar Gaurav's daughter and Rajendra Kumar's granddaughter)
Nana Palsikar,Actor,Kanoon,"Nana Palsikar was born on May 20, 1908 in British India"
D.K. Sapru,Actor,Haseena Maan Jayegi,D
Partho Mukerjee,Writer,Faraar,Partha Mukherjee is an extremely adorable actor of Bengali silver screen for his 'boy next door look'
Aachi Manorama,Actress,Arundhati,"Manorama is a veteran Tamil actress who has acted in more than 1500 films, 1000 stage performances, and a few television serials"
George Hull,Art Department,Blade Runner 2049,Born in India and raised in the U
Kavita Kaushik,Actress,F.I.R.,"Kavita Kaushik was born on February 15, 1981 in New Delhi, India"
Ursula Mohan,Actress,The Bank Job,"Ursula Mohan was born on January 9, 1946 in India as Ursula Hazel Mohan"
Rahat Kazmi,Actor,Lihaaf: The Quilt,"Rahat Kazmi was born at a small village called Pamrote, a town Surankote district Poonch in Jammu and Kashmir state of Indian side on 23rd July 1980"
Pramod Chakravorty,Director,Jugnu,"Pramod Chakravorty was born on August 15, 1929 in West Bengal, India"
Harmesh Malhotra,Director,Mangal Pandey,Daughter named Kajal Banerjee
Upendra Trivedi,Actor,Zer To Pidhan Jani Jani,"Upendra Trivedi was born on July 14, 1936 in Indore, Madhya Pradesh, India as Upendra Jethalal Trivedi"
Ramesh Bhatkar,Actor,Aai Pahije,"Ramesh Bhatkar (3 August 1949 - 4 February 2019) was a Marathi film, stage and TV actor"
Shital Thakkar,Actress,Ssshhhh... Koi Hai,"Shital Thakkar was born on December 19, 1975 in Bombay, Maharashtra, India"
Manivannan,Director,Nooravathu Naal,"Manivannan was born on July 31, 1954 in Sulur, Madras State, India as Manivannan Rajagopal"
Sukumari,Actress,Vrutham,"Sukumari was born on October 6, 1940 in Nagercoil, Southern Division, Travancore, British India"
Sreeja,Actress,Superman,"Sreeja was born on April 18, 1971 in Trivandrum, Kerala, India"
Chayan Sarkar,Producer,The Sleeping Warrior,"Chayan Sarkar was born on July 24, 1972 in Calcutta, West Bengal, India"
Riyaz Khan,Actor,Ghajini,"Riyaz Khan was born on September 9, 1972 in Kochi, Kerala, India"
Karan Patel,Actor,Yeh Hai Mohabbatein,"Karan Patel was born on November 23, 1983 in Calcutta, West Bengal, India"
Aryann Bhowmick,Actor,Mishawr Rawhoshyo,"Aryann Bhowmick was born on October 9, 1992 in Calcutta, West Bengal, India"
Mehboob Khan,Director,Mother India,"Mehboob Khan was born on September 9, 1907 in Bilimora, Baroda, Bombay Presidency, British India"
Tapan Sinha,Director,Ek Doctor Ki Maut,Born in 1924
Koushik Sen,Actor,Lion,"Koushik Sen was born on August 7, 1968 in Calcutta, West Bengal, India"
Krishnakumar Kunnath,Music Department,Om Shanti Om,Krishnakumar Kunnath or K
Ashalata Wabgaonkar,Actress,Namak Halaal,"Ashalata Wabgaonkar was born on July 2, 1941 in Goa, India"
Gajanan Jagirdar,Actor,Vasantsena,First major freelance director-character actor in Marathi and Hindi cinema
Hrishikesh Pandey,Actor,Ssshhhh... Koi Hai,"Hrishikesh Pandey was born on December 11, 1974 in Bombay, Maharashtra, India"
Haidar Ali,Writer,Jodhaa Akbar,"Haidar Ali was born on February 16, 1948 in Bombay, State of Bombay, India"
Krishna Shah,Writer,The Prince of Light,"Born in India, a graduate of Bombay University, Yale and UCLA, Krishna Shah is the first Asian-American writer/director/producer who has won critical acclaim on Broadway and in Hollywood"
Ronny Sen,Director,Cat Sticks,He was invited to be an artist in residence in Japan by The Japan Foundation in 2013 and in Poland by the Polish Institute in 2016
Lekh Tandon,Director,Dulhan Wahi Jo Piya Man Bhaaye,"Lekh Tandon was born on February 13, 1929 in Lahore, Punjab, British India as Lekh Faqeer Chand Tandon"
Sudha Chandran,Actress,Prratima,"Sudha Chandran was born on September 27, 1965 in Bombay, Maharashtra, India"
Ravindra Jain,Composer,Ram Teri Ganga Maili,"Ravindra Jain was born on February 28, 1944 in Aligarh, United Provinces, British India"
Sam Moses,Actor,Adventures in Babysitting,"Sam Moses was born on March 19, 1944 in Bangalore, India as Samson Moses"
Amit Kumar,Music Department,Love Story,"Amit Kumar was born on July 3, 1952 in India as Amit Kumar Ganguly"
Manoj Muntashir,Music Department,Ek Villain,
Smiley Suri,Actress,Crook: It's Good to Be Bad,"Smiley Suri was born on April 30, 1983 in Bombay, Maharashtra, India"
Ruby Mayer,Actress,Talash,She was born Ruby Myers in Pune and was working as a telephone operator when she was approached by Mohan Bhavnani of Kohinoor Films to work in films
Jayant,Actor,State Express,"Jayant was born on October 15, 1915 in Peshawar, North-West Frontier Province, British India as Zakaria Khan"
Puru Rajkumar,Actor,Hamara Dil Aapke Paas Hai,"Puru Rajkumar was born on March 30, 1973 in Bombay, Maharashtra, India"
Navjit Buttar,Director,Muchh,"Navjit Buttar(Navjit Singh Buttar) was born on February 28th,1990 in Punjab, India"
Chiranjit,Actor,Sansar Sangram,"Chiranjit was born on November 2, 1955 in Calcutta, West Bengal, India as Deepak Chakraborty"
Veerendra,Actor,Dushmani Dee Agg,"Veerendra was born on January 29, 1948 in Punjab, India"
K.R. Vijaya,Actress,Iru Malargal,K
Tariq Yunus,Actor,We'll Think of Something,"Tariq Yunus was born on October 16, 1946 in Karachi, India"
Kishan Mehta,Actor,Caravan,"Kishan Mehta was born on February 21, 1941 in Delhi, India"
Vineeth,Music Department,Secret Superstar,"Vineeth was born in 1969 in Kannur, Kerala, India"
Arindam Sil,Director,Ebar Shabor,"Arindam Sil was born on March 12, 1964 in India"
Adhyayan Suman,Actor,Airport: Shaira & Me,"Adhyayan Suman was born on January 13, 1988 in Bombay, Maharashtra, India"
Dilip Kulkarni,Actor,Parinda,Dilip Kulkarni: Actor and Director of Marathi and Hindi Theatre
Ronnie Screwvala,Producer,Chennai Express,
Jillo,Actress,Draupadi,"Jillo was born in 1905 in Bombay, India as Zuleka Ebrahain"
Yukta Mookhey,Actress,Memsahab,"Yukta was born in the Sindhi-speaking Mookhey family in Bombay, Maharashtra, India, on October 7, 1979"
Viraf Patel,Actor,Ek Boond Ishq,"Viraf Patel was born on June 12, 1980 in Pune, Maharashtra, India"
Arpita Pal,Actress,Devdas,"Arpita Pal was born in 1979 in Calcutta, West Bengal, India"
Anagha Bhagare,Actress,Rang maza vegla,Anagha Bhagare is an actress in Marathi Film Industry
Bhanu Bannerjee,Actor,Sharey Chuattar,"Bhanu Bannerjee was born on August 26, 1920 in Dacca, Bengal Presidency, British India as Samyamoy Bandyopadhyay"
Shail Chaturvedi,Music Department,Naya Zaher,"Shail Chaturvedi was born on June 29, 1936 in Amravati, Bombay Presidency, British India"
Naresh Suri,Actor,Himalay Se Ooncha,"Naresh Suri was born on July 25, 1951 in Pune, State of Bombay, India"
Sandra Hotz,Actress,A Passage to India,"Sandra Hotz was born in 1946 in Gujrat, India"
Kamya Punjabi,Actress,Shakti: Astitva Ke Ehsaas Ki,"Kamya Punjabi was born on September 14, 1979 in India"
Savitri,Actress,Narthanasala,"Savitri was born on December 6, 1937 in Chirravuru, Guntur District, Andhra Pradesh, India"
Krishnamraju,Actor,Tandra Paparayudu,"Krishnamraju was born on January 20, 1940 in Mogultur, Andhra Pradesh, India as Venkata Krishnam Raju Uppalapati"
Sachin Tendulkar,Self,Coca-Cola Cup,Sachin is an Indian cricketer widely regarded as one of the greatest batsmen in the history of cricket
Shrenu Parikh,Actress,Iss Pyaar Ko Kya Naam Doon? Ek Baar Phir,"Shrenu Parikh was born on November 11, 1989 in Vadodara, Gujarat, India"
Kali Bannerjee,Actor,Neel Akasher Neechey,"Kali Bannerjee was born on November 20, 1921 in Calcutta, Bengal Presidency, British India"
Krishnakant,Actor,Dil Se..,"Krishnakant was born in September 1922 in Howrah, West Bengal, British India as Krishnakant Maganlal Atmaram Bukhanvala"
Hasrat Jaipuri,Soundtrack,Deadpool,Son named Akhtar Jaipuri ( his son name is Adil) and a daughter named Kishwar Jaipuri
Koneenica Banerjee,Actress,Kader Kuler Bou,"Koneenica Banerjee was born on May 21, 1980 in Calcutta, West Bengal, India"
Mamata Shankar,Actress,Pink,Mamata Shankar hails from one of the most illustrious families of West Bengal
Sania Mirza,Self,Wimbledon,"Sania Mirza was born on 15 November 1986 in Mumbai to Muslim parents Imran Mirza, a sports journalist, and his wife Naseema, who worked in a printing business"
Gopi Sundar,Music Department,Chennai Express,"Gopi Sundar was born on May 30, 1977 in Kochi, India as Gopi Sundar C"
Janvi Chheda,Actress,Chhoona Hai Aasmaan,"Janvi Chheda was born on February 29, 1984 in Bombay, Maharashtra, India"
Asaduzzaman Noor,Actor,Himu,Asaduzzaman Noor is one of the few actors in Bangladesh with acting and reciting skill
Kamal Rashid Khan,Actor,Ek Villain,"Kamal Rashid Khan was born on January 1, 1975 in Deoband, Uttar Pradesh, India"
Sukirti Kandpal,Actress,Pyaar Kii Ye Ek Kahaani,"Sukirti Kandpal was born on November 20, 1987 in Nainital, Uttarakhand, India"
N. Linguswamy,Writer,Aanandham,N
Achyut Potdar,Actor,3 Idiots,"Achyut Potdar was born on August 22, 1934 in Jabalpur, Central Provinces, British India"
Rama Rao Tatineni,Director,Jeevana Tarangalu,Cousin of T
Kharaj Mukherjee,Actor,Kahaani,"Kharaj Mukherjee was born on July 7, 1963 in Calcutta, West Bengal, India"
Atul Sabharwal,Writer,Aurangzeb,"Atul Sabharwal was born on January 22, 1977 in Agra, India"
Vikas Sharma,Producer,Qarib Qarib Singlle,Vikas Sharma (a
Jawaharlal Nehru,Writer,Bharat Ek Khoj,"Jawaharlal Nehru was born on November 14, 1889, in Allahabad, India"
Sumitra Mukherjee,Actress,Debdas,"Sumitra Mukherjee was born on March 30, 1949 in Calcutta, West Bengal, India"
Anand Rajaram,Actor,Miss Sloane,"Anand Rajaram is an actor, writer, director, puppeteer, mask performer, teacher and performance artist"
Daboo Malik,Composer,Kisse Pyaar Karoon?,"Daboo Malik was born on January 21, 1963 in Bombay, Maharashtra, India as Israr Sardaar Malik"
Vaishnavi Dhanraj,Actress,Bepannaah,"Vaishnavi Dhanraj was born on August 25, 1988 in Nagpur, Maharashtra, India as Vaishnavi Bhoyar"
Rita Wolf,Actress,My Beautiful Laundrette,"Rita Wolf was born on February 25, 1960 in Calcutta, India"
Stephen M. Hardin,Actor,The Night Shift,Stephen Hardin recently co-starred on
Shantaram Rajaram Vankudre,Director,Do Ankhen Barah Haath,Rajaram has been married twice
John Abraham,Director,Agraharathil Kazhuthai,Malayalam director who studied economics at a college near Kottayam
